Hungate_id|Hungate_id_ori|number_id|kingdom|phylum|class|order|family|genus|species|species_strain|level_covered|Family/Order|Genus/Species|Strain|Culture_collection|Origin|Comments|References|Source
Genome_HUN032|HUN032|203|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnospira|Lachnospira multipara|Lachnospira multipara_D32|7|Lachnospiraceae|Lachnospira multipara|D32|ATCC 19207|Cow rumen/USA|Type strain|[45]|
Genome_HUN122|HUN122|204|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnospira|Lachnospira multipara|Lachnospira multipara_LB2003|7|Lachnospiraceae|Lachnospira multipara|LB2003||Cow rumen/NZ||[8]|
Genome_HUN202|HUN202|205|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnospira|Lachnospira multipara|Lachnospira multipara_MC2003|7|Lachnospiraceae|Lachnospira multipara|MC2003||Cow rumen/NZ||[8]|
Genome_HUN354|HUN354|206|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnospira|Lachnospira multipara|Lachnospira multipara_D15d|7|Lachnospiraceae|Lachnospira multipara|D15d||Cow rumen/USA||[13]|Dr. M. Cotta
Genome_HUN457|HUN457|207|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnospira|Lachnospira pectinoschiza|Lachnospira pectinoschiza_M83|7|Lachnospiraceae|Lachnospira pectinoschiza|M83||Camel forestomach/Australia||[38]|Dr. R. Al Jassim
Genome_HUN006|HUN006|208|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|||Lachnospiraceae_NK3A20|5|Lachnospiraceae|Lachnospiraceae bacterium|NK3A20||Sheep rumen/NZ|Butyrivibrio proteoclasticus 90%|[25]|
Genome_HUN002|HUN002|209|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|||Lachnospiraceae_NK4A136|5|Lachnospiraceae|Lachnospiraceae bacterium|NK4A136||Sheep rumen/NZ|Butyrivibrio crossotus 93%|[25]|
Genome_HUN011|HUN011|210|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|||Lachnospiraceae_NK4A144|5|Lachnospiraceae|Lachnospiraceae bacterium|NK4A144||Sheep rumen/NZ|Coprococcus eutactus 91%|[25]|
Genome_HUN023|HUN023|211|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|||Lachnospiraceae_NK4A179|5|Lachnospiraceae|Lachnospiraceae bacterium|NK4A179||Sheep rumen/NZ|Roseburia inulinivorans 92%|[25]|
Genome_HUN081|HUN081|212|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|||Lachnospiraceae_AC2029|5|Lachnospiraceae|Lachnospiraceae bacterium|AC2029||Cow rumen/NZ|Coprococcus eutactus 91%|[8]|
Genome_HUN101|HUN101|213|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|||Lachnospiraceae_AC2012|5|Lachnospiraceae|Lachnospiraceae bacterium|AC2012||Cow rumen/NZ|Eubacterium oxidoreducens 91%|[8]|
Genome_HUN103|HUN103|214|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|||Lachnospiraceae_AC2031|5|Lachnospiraceae|Lachnospiraceae bacterium|AC2031||Cow rumen/NZ|Eubacterium ruminantium 92%|[8]|
Genome_HUN106|HUN106|215|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|||Lachnospiraceae_AC3007|5|Lachnospiraceae|Lachnospiraceae bacterium|AC3007||Cow rumen/NZ|Acetatifactor muris 90%|[8]|
Genome_HUN107|HUN107|216|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|||Lachnospiraceae_AB2028|5|Lachnospiraceae|Lachnospiraceae bacterium|AB2028||Cow rumen/NZ|Eisenbergiella tayi 93%|[8]|
Genome_HUN108|HUN108|217|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|||Lachnospiraceae_AC2014|5|Lachnospiraceae|Lachnospiraceae bacterium|AC2014||Cow rumen/NZ|Agathobacter ruminis 99%/Roseburia faecis 96%|[8 46]|
Genome_HUN112|HUN112|218|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|||Lachnospiraceae_FD2005|5|Lachnospiraceae|Lachnospiraceae bacterium|FD2005||Cow rumen/NZ|Eubacterium oxidoreducens 95%|[8]|
Genome_HUN114|HUN114|219|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|||Lachnospiraceae_AC2028|5|Lachnospiraceae|Lachnospiraceae bacterium|AC2028||Cow rumen/NZ|Lachnoclostridium saccharolyticum 92%|[8]|
Genome_HUN116|HUN116|220|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|||Lachnospiraceae_FE2018|5|Lachnospiraceae|Lachnospiraceae bacterium|FE2018||Cow rumen/NZ|Syntrophococcus sucromutans 91%|[8]|
Genome_HUN128|HUN128|221|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|||Lachnospiraceae_AD3010|5|Lachnospiraceae|Lachnospiraceae bacterium|AD3010||Cow rumen/NZ|Butyrivibrio proteoclasticus 90%|[8]|
Genome_HUN134|HUN134|222|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|||Lachnospiraceae_MA2020|5|Lachnospiraceae|Lachnospiraceae bacterium|MA2020||Cow rumen/NZ|Lachnoclostridium aldenense 90%|[8]|
Genome_HUN137|HUN137|223|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|||Lachnospiraceae_MC2017|5|Lachnospiraceae|Lachnospiraceae bacterium|MC2017||Cow rumen/NZ|Coprococcus eutactus 91%|[8]|
Genome_HUN151|HUN151|224|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|||Lachnospiraceae_MD2004|5|Lachnospiraceae|Lachnospiraceae bacterium|MD2004||Cow rumen/NZ|Eubacterium oxidoreducens 95%|[8]|
Genome_HUN153|HUN153|225|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|||Lachnospiraceae_NC2008|5|Lachnospiraceae|Lachnospiraceae bacterium|NC2008||Cow rumen/NZ|Lachnospira multipara 93%|[8]|
Genome_HUN154|HUN154|226|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|||Lachnospiraceae_ND2006|5|Lachnospiraceae|Lachnospiraceae bacterium|ND2006||Cow rumen/NZ|Eubacterium oxidoreducens 90%|[8]|
Genome_HUN159|HUN159|227|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|||Lachnospiraceae_NC2004|5|Lachnospiraceae|Lachnospiraceae bacterium|NC2004||Cow rumen/NZ|Lachnospira multipara 91%|[8]|
Genome_HUN165|HUN165|228|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|||Lachnospiraceae_V9D3004|5|Lachnospiraceae|Lachnospiraceae bacterium|V9D3004||Cow rumen/NZ|Lachnoclostridium populeti 95%|[8]|
Genome_HUN175|HUN175|229|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|||Lachnospiraceae_C6A11|5|Lachnospiraceae|Lachnospiraceae bacterium|C6A11||Cow rumen/NZ|Eubacterium ruminantium 96%||
Genome_HUN177|HUN177|230|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|||Lachnospiraceae_P6A3|5|Lachnospiraceae|Lachnospiraceae bacterium|P6A3||Cow rumen/NZ|Butyrivibrio proteoclasticus 92%||
Genome_HUN182|HUN182|231|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|||Lachnospiraceae_P6B14|5|Lachnospiraceae|Lachnospiraceae bacterium|P6B14||Cow rumen/NZ|Eubacterium xylanophilum 89%||
Genome_HUN208|HUN208|232|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|||Lachnospiraceae_YSB2008|5|Lachnospiraceae|Lachnospiraceae bacterium|YSB2008||Cow rumen/NZ|Eubacterium ruminantium 93%|[8]|
Genome_HUN215|HUN215|233|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|||Lachnospiraceae_XBB1006|5|Lachnospiraceae|Lachnospiraceae bacterium|XBB1006||Cow rumen/NZ|Ruminococcus gnavus 94%|[8]|
Genome_HUN216|HUN216|234|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|||Lachnospiraceae_XBD2001|5|Lachnospiraceae|Lachnospiraceae bacterium|XBD2001||Cow rumen/NZ|Pseudobutyrivibrio ruminis 93%|[8]|
Genome_HUN217|HUN217|235|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|||Lachnospiraceae_XPB1003|5|Lachnospiraceae|Lachnospiraceae bacterium|XPB1003||Cow rumen/NZ|Lachnoclostridium bolteae 92%|[8]|
Genome_HUN219|HUN219|236|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|||Lachnospiraceae_YSD2013|5|Lachnospiraceae|Lachnospiraceae bacterium|YSD2013||Cow rumen/NZ|Lachnoclostridium contortum 94%|[8]|
Genome_HUN223|HUN223|237|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|||Lachnospiraceae_NE2001|5|Lachnospiraceae|Lachnospiraceae bacterium|NE2001||Cow rumen/NZ|Eubacterium ruminantium 92%|[8]|
Genome_HUN229|HUN229|238|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|||Lachnospiraceae_XBB2008|5|Lachnospiraceae|Lachnospiraceae bacterium|XBB2008||Cow rumen/NZ|Lachnoclostridium xylanolyticum 91%|[8]|
Genome_HUN249|HUN249|239|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|||Lachnospiraceae_C10|5|Lachnospiraceae|Lachnospiraceae bacterium|C10||Cow rumen/NZ|Roseburia faecis 93%|[29]|
Genome_HUN252|HUN252|240|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|||Lachnospiraceae_C7|5|Lachnospiraceae|Lachnospiraceae bacterium|C7||Cow rumen/NZ|Lachnobacterium bovis 95%|[29]|
Genome_HUN255|HUN255|241|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|||Lachnospiraceae_RM5|5|Lachnospiraceae|Lachnospiraceae bacterium|RM5||Cow rumen/Japan|Eubacterium oxidoreducens 93%|[12]|Dr. M. Mitsumori
Genome_HUN256|HUN256|242|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|||Lachnospiraceae_G11|5|Lachnospiraceae|Lachnospiraceae bacterium|G11||Cow rumen/Japan|Lachnoclostridium saccharolyticum 93%|[12]|Dr. M. Mitsumori
Genome_HUN257|HUN257|243|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|||Lachnospiraceae_G41|5|Lachnospiraceae|Lachnospiraceae bacterium|G41||Cow rumen/Japan|Eubacterium oxidoreducens 92%|[12]|Dr. M. Mitsumori
Genome_HUN283|HUN283|244|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|||Lachnospiraceae_A10|5|Lachnospiraceae|Lachnospiraceae bacterium|A10||Cow rumen/NZ|Eubacterium oxidoreducens 94%||
Genome_HUN335|HUN335|245|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|||Lachnospiraceae_KH1P17|5|Lachnospiraceae|Lachnospiraceae bacterium|KH1P17||Cow rumen/NZ|Fusicatenibacter saccharivorans 92%||
Genome_HUN348|HUN348|246|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|||Lachnospiraceae_LC2019|5|Lachnospiraceae|Lachnospiraceae bacterium|LC2019||Cow rumen/NZ|Eubacterium ruminantium 92%|[8]|
Genome_HUN403|HUN403|247|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|||Lachnospiraceae_KH1T2|5|Lachnospiraceae|Lachnospiraceae bacterium|KH1T2||Cow rumen/NZ|Eubacterium oxidoreducens 91%||
Genome_HUN425|HUN425|248|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|||Lachnospiraceae_NLAE-zl-G231|5|Lachnospiraceae|Lachnospiraceae bacterium |NLAE-zl-G231||Goat faeces enrichment/USA|Eisenbergiella tayi 99%||Dr. T. Atherley
Genome_HUN433|HUN433|249|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|||Lachnospiraceae_KHCPX20|5|Lachnospiraceae|Lachnospiraceae bacterium|KHCPX20||Cow rumen/NZ|Roseburia faecis 93%||
Genome_HUN030|HUN030|250|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Oribacterium||Oribacterium_NK2B42|6|Lachnospiraceae|Oribacterium sp.|NK2B42||Sheep rumen/NZ||[25]|
Genome_HUN119|HUN119|251|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Oribacterium||Oribacterium_FC2011|6|Lachnospiraceae|Oribacterium sp.|FC2011||Cow rumen/NZ||[8]|
Genome_HUN168|HUN168|252|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Oribacterium||Oribacterium_P6A1|6|Lachnospiraceae|Oribacterium sp.|P6A1||Cow rumen/NZ|||
Genome_HUN399|HUN399|253|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Oribacterium||Oribacterium_WCC10|6|Lachnospiraceae|Oribacterium sp.|WCC10||Cow rumen/NZ|||
Genome_HUN406|HUN406|254|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Oribacterium||Oribacterium_KHPX15|6|Lachnospiraceae|Oribacterium sp.|KHPX15||Cow rumen/NZ|||
Genome_HUN009|HUN009|255|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Pseudobutyrivibrio|Pseudobutyrivibrio ruminis|Pseudobutyrivibrio ruminis_HUN009|7|Lachnospiraceae|Pseudobutyrivibrio ruminis|HUN009||Cow rumen/NZ|||
Genome_HUN033|HUN033|256|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Pseudobutyrivibrio|Pseudobutyrivibrio ruminis|Pseudobutyrivibrio ruminis_CF1b|7|Lachnospiraceae|Pseudobutyrivibrio ruminis|CF1b||Sheep caecum/USA||[47]|
Genome_HUN046|HUN046|257|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Pseudobutyrivibrio|Pseudobutyrivibrio ruminis|Pseudobutyrivibrio ruminis_AD2017|7|Lachnospiraceae|Pseudobutyrivibrio ruminis|AD2017||Cow rumen/NZ||[8]|
Genome_HUN261|HUN261|258|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Pseudobutyrivibrio|Pseudobutyrivibrio ruminis|Pseudobutyrivibrio ruminis_A12-1|7|Lachnospiraceae|Pseudobutyrivibrio ruminis |A12-1|DSM 9787|Cow rumen/Sweden|Type strain|[48]|DSMZ
Genome_HUN285|HUN285|259|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Pseudobutyrivibrio|Pseudobutyrivibrio ruminis|Pseudobutyrivibrio ruminis_ACV-9|7|Lachnospiraceae|Pseudobutyrivibrio ruminis|ACV-9||Cow rumen/NZ|||
Genome_HUN240|HUN240|260|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Pseudobutyrivibrio||Pseudobutyrivibrio_AR14|6|Lachnospiraceae|Pseudobutyrivibrio sp|AR14||Sheep rumen/Australia||[8]|Dr. R. Gilbert/Dr. A. Klieve
Genome_HUN117|HUN117|261|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Pseudobutyrivibrio||Pseudobutyrivibrio_LB2011|6|Lachnospiraceae|Pseudobutyrivibrio sp.|LB2011||Cow rumen/NZ||[8]|
Genome_HUN148|HUN148|262|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Pseudobutyrivibrio||Pseudobutyrivibrio_MD2005|6|Lachnospiraceae|Pseudobutyrivibrio sp.|MD2005||Cow rumen/NZ||[8]|
Genome_HUN232|HUN232|263|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Pseudobutyrivibrio||Pseudobutyrivibrio_C4|6|Lachnospiraceae|Pseudobutyrivibrio sp.|C4||Cow rumen/NZ||[29]|
Genome_HUN242|HUN242|264|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Pseudobutyrivibrio||Pseudobutyrivibrio_YE44|6|Lachnospiraceae|Pseudobutyrivibrio sp.|YE44||Cow rumen/Australia||[49]|Dr. R. Gilbert/Dr. A. Klieve
Genome_HUN284|HUN284|265|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Pseudobutyrivibrio||Pseudobutyrivibrio_ACV-2|6|Lachnospiraceae|Pseudobutyrivibrio sp.|ACV-2||Cow rumen/NZ|||
Genome_HUN312|HUN312|266|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Pseudobutyrivibrio||Pseudobutyrivibrio_NOR37|6|Lachnospiraceae|Pseudobutyrivibrio sp.|NOR37||Cow rumen/UK||[50]|Dr. R. Forster
Genome_HUN319|HUN319|267|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Pseudobutyrivibrio||Pseudobutyrivibrio_OR37|6|Lachnospiraceae|Pseudobutyrivibrio sp.|OR37||Cow rumen/Canada||[37]|Dr. R. Forster
Genome_HUN321|HUN321|268|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Pseudobutyrivibrio||Pseudobutyrivibrio_UC12254|6|Lachnospiraceae|Pseudobutyrivibrio sp.|UC12254||Cow rumen/USA||[51]|Dr. R. Forster
Genome_HUN350|HUN350|269|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Pseudobutyrivibrio||Pseudobutyrivibrio_JW11|6|Lachnospiraceae|Pseudobutyrivibrio sp.|JW11||Sheep rumen/UK||[52]|Dr. J. Wallace
Genome_HUN440|HUN440|270|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Pseudobutyrivibrio||Pseudobutyrivibrio_49|6|Lachnospiraceae|Pseudobutyrivibrio sp.|49||Cow rumen/USA||[53]|Dr. M. Cotta
Genome_HUN263|HUN263|271|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Pseudobutyrivibrio|Pseudobutyrivibrio xylanivorans  |Pseudobutyrivibrio xylanivorans  _Bu21|7|Lachnospiraceae|Pseudobutyrivibrio xylanivorans  |Bu21|DSM 10317|Sheep rumen/South Africa||[54]|DSMZ
Genome_HUN022|HUN022|272|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Ruminococcus|Ruminococcus gnavus|Ruminococcus gnavus_AGR2154|7|Lachnospiraceae|Ruminococcus gnavus|AGR2154||Calf faeces/NZ|||
Genome_HUN247|HUN247|273|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Sarcina||Sarcina_LD 64|6|Lachnospiraceae|Sarcina sp.|LD 64|DSM 11001|Cow rumen/Sweden||[55]|DSMZ
Genome_HUN084|HUN084|274|Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus|Lactobacillus brevis|Lactobacillus brevis_AG48|7|Lactobacillaceae|Lactobacillus brevis|AG48||Sheep rumen/NZ||[56]|
Genome_HUN087|HUN087|275|Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus|Lactobacillus mucosae|Lactobacillus mucosae_AGR63|7|Lactobacillaceae|Lactobacillus mucosae|AGR63||Cow rumen/NZ||[24]|
Genome_HUN407|HUN407|276|Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus|Lactobacillus mucosae|Lactobacillus mucosae_WCC8|7|Lactobacillaceae|Lactobacillus mucosae|WCC8||Cow rumen/NZ|||
Genome_HUN410|HUN410|277|Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus|Lactobacillus mucosae|Lactobacillus mucosae_KHPC15|7|Lactobacillaceae|Lactobacillus mucosae|KHPC15||Cow rumen/NZ|||
Genome_HUN418|HUN418|278|Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus|Lactobacillus mucosae|Lactobacillus mucosae_KHPX11|7|Lactobacillaceae|Lactobacillus mucosae|KHPX11||Cow rumen/NZ|||
Genome_HUN088|HUN088|279|Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus|Lactobacillus plantarum|Lactobacillus plantarum_AG30|7|Lactobacillaceae|Lactobacillus plantarum|AG30||Sheep rumen/NZ||[56]|
Genome_HUN260|HUN260|280|Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus|Lactobacillus ruminis|Lactobacillus ruminis_RF1|7|Lactobacillaceae|Lactobacillus ruminis |RF1|DSM 20403|Cow rumen/UK|Type strain|[27]|DSMZ
Genome_HUN405|HUN405|281|Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus|Lactobacillus ruminis|Lactobacillus ruminis_WC1T17|7|Lactobacillaceae|Lactobacillus ruminis|WC1T17||Cow rumen/NZ|||
Genome_HUN083|HUN083|282|Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Pediococcus|Pediococcus acidilactici|Pediococcus acidilactici_AGR20|7|Lactobacillaceae|Pediococcus acidilactici|AGR20||Sheep rumen/NZ||[24]|
Genome_HUN364|HUN364|283|Bacteria|Firmicutes|Clostridia|Clostridiales|Oscillospiraceae|Oscillibacter||Oscillibacter_PC13|6|Oscillospiraceae|Oscillibacter sp.|PC13||Sheep rumen/Australia||[57]|Dr. S. Denman
Genome_HUN095|HUN095|284|Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Peptoclostridium|Peptoclostridium mangenotii|Peptoclostridium mangenotii_LM2|7|Peptostreptococcaceae|Peptoclostridium mangenotii|LM2||Lamb faeces/NZ|||
Genome_HUN092|HUN092|285|Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|||Peptostreptococcaceae_VA2|5|Peptostreptococcaceae|Peptostreptococcaceae bacterium|VA2||Deer faeces/NZ|Romboutsia sedimentorum 99%||
Genome_HUN291|HUN291|286|Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|||Peptostreptococcaceae_pGA-8|5|Peptostreptococcaceae|Peptostreptococcaceae bacterium|pGA-8||Cow rumen/NZ|[Eubacterium] sulci 92%||
Genome_HUN234|HUN234|287|Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Peptostreptococcus|Peptostreptococcus anaerobius|Peptostreptococcus anaerobius_C|7|Peptostreptococcaceae|Peptostreptococcus anaerobius |C||Cow rumen/USA||[42]|
Genome_HUN438|HUN438|288|Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Peptostreptococcus|Peptostreptococcus russellii|Peptostreptococcus russellii_Calf135|7|Peptostreptococcaceae|Peptostreptococcus russellii|Calf135||Calf faeces/NZ|||
Genome_HUN236|HUN236|289|Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Peptostreptococcus|Peptostreptococcus|Peptostreptococcus_D1|7|Peptostreptococcaceae|Peptostreptococcus sp.|D1||Deer rumen/NZ||[29]|
Genome_HUN296|HUN296|290|Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Terrisporobacter|Terrisporobacter glycolicus|Terrisporobacter glycolicus_KPPR-9|7|Peptostreptococcaceae|Terrisporobacter glycolicus|KPPR-9||Cow rumen/NZ|||
Genome_HUN012|HUN012|291|Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|||Ruminococcaceae_NK3B98|5|Ruminococcaceae|Ruminococcaceae bacterium|NK3B98||Sheep rumen/NZ|Pseudoflavonifractor capillosus 93%|[25]|
Genome_HUN104|HUN104|292|Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|||Ruminococcaceae_AE2021|5|Ruminococcaceae|Ruminococcaceae bacterium|AE2021||Cow rumen/NZ|Saccharofermentans acetigenes 93%|[8]|
Genome_HUN162|HUN162|293|Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|||Ruminococcaceae_AB4001|5|Ruminococcaceae|Ruminococcaceae bacterium|AB4001||Cow rumen/NZ|Saccharofermentans acetigenes 93%|[8]|
Genome_HUN222|HUN222|294|Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|||Ruminococcaceae_YAD3003|5|Ruminococcaceae|Ruminococcaceae bacterium|YAD3003||Cow rumen/NZ|Saccharofermentans acetigenes 93%|[8]|
Genome_HUN271|HUN271|295|Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|||Ruminococcaceae_YRB3002|5|Ruminococcaceae|Ruminococcaceae bacterium|YRB3002||Cow rumen/NZ|Saccharofermentans acetigenes 90%|[8]|
Genome_HUN331|HUN331|296|Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|||Ruminococcaceae_KHP2|5|Ruminococcaceae|Ruminococcaceae bacterium|KHP2||Cow rumen/NZ|Saccharofermentans acetigenes 93%||
Genome_HUN371|HUN371|297|Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|||Ruminococcaceae_R-25|5|Ruminococcaceae|Ruminococcaceae bacterium|R-25||Sheep rumen/Japan|Saccharofermentans acetigenes 92%|[58]|Dr. S. Koike
Genome_HUN420|HUN420|298|Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|||Ruminococcaceae_KH2T8|5|Ruminococcaceae|Ruminococcaceae bacterium|KH2T8||Cow rumen/NZ|Saccharofermentans acetigenes 93%||
Genome_HUN157|HUN157|299|Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|||Ruminococcaceae_FB2012|5|Ruminococcaceae|Ruminococcaceae bacterium|FB2012||Cow rumen/NZ|Ruminococcus albus 94%|[8]|
Genome_HUN253|HUN253|300|Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|||Ruminococcaceae_D5|5|Ruminococcaceae|Ruminococcaceae bacterium|D5||Deer rumen/NZ|Anaerotruncus colihominis 92%|[29]|
Genome_HUN258|HUN258|301|Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|||Ruminococcaceae_P7|5|Ruminococcaceae|Ruminococcaceae bacterium|P7||Cow rumen/Japan|Ruminococcus bromii 95%|[12]|Dr. M. Mitsumori
Genome_HUN093|HUN093|302|Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Ruminococcus|Ruminococcus albus|Ruminococcus albus_AD2013|7|Ruminococcaceae|Ruminococcus albus|AD2013||Cow rumen/NZ||[8]|
Genome_HUN239|HUN239|303|Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Ruminococcus|Ruminococcus albus|Ruminococcus albus_AR67|7|Ruminococcaceae|Ruminococcus albus|AR67||Sheep rumen/Australia||[8]|Dr. R. Gilbert/Dr. A. Klieve
Genome_HUN419|HUN419|304|Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Ruminococcus|Ruminococcus albus|Ruminococcus albus_KH2T6|7|Ruminococcaceae|Ruminococcus albus|KH2T6||Cow rumen/NZ|||
Genome_HUN241|HUN241|305|Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Ruminococcus|Ruminococcus bromii|Ruminococcus bromii_YE282|7|Ruminococcaceae|Ruminococcus bromii |YE282||Cow rumen/Australia||[59]|Dr. R. Gilbert/Dr. A. Klieve
